32,20,140,2026-05-05 03:40:51.995+00,2026-05-05 18:26:06.551536+00
25,2,32,2026-05-04 15:28:05.512764+00,2026-05-05 00:12:02.209597+00
18,4,29,2026-05-04 13:42:43.441476+00,2026-05-04 14:11:18.78013+00
18,19,1,2026-05-04 14:10:16.603139+00,2026-05-04 14:10:16.603139+00
31,8,282,2026-05-05 02:47:24.410696+00,2026-05-06 01:03:06.418265+00
17,5,273,2026-05-04 13:08:47.803649+00,2026-05-05 03:18:14.861912+00
20,10,99,2026-05-04 15:21:21.160399+00,2026-05-05 15:46:28.079503+00
35,4,40,2026-05-05 05:56:19.016787+00,2026-05-05 06:09:53.150492+00
16,2,48,2026-05-04 13:07:09.222593+00,2026-05-05 01:16:08.09354+00
13,7,94,2026-05-04 09:17:37.14753+00,2026-05-06 00:59:48.605175+00
37,14,600,2026-05-05 09:04:58.970687+00,2026-05-05 23:02:00.691203+00
32,16,284,2026-05-05 03:40:41.987181+00,2026-05-05 18:26:10.555401+00
25,19,141,2026-05-04 23:57:08.242788+00,2026-05-06 00:14:56.506009+00
19,7,87,2026-05-04 14:03:56.431205+00,2026-05-05 17:33:59.39045+00
13,9,59,2026-05-04 11:09:10.830407+00,2026-05-06 00:58:51.517462+00
24,2,9,2026-05-04 14:52:33.757001+00,2026-05-04 14:53:27.302061+00
24,1,8,2026-05-04 14:52:36.758688+00,2026-05-04 14:53:27.302061+00
29,4,41,2026-05-04 19:29:23.466147+00,2026-05-04 19:59:17.570269+00
40,5,218,2026-05-05 09:30:36.584037+00,2026-05-05 13:43:57.990816+00
19,2,217,2026-05-04 14:04:09.942089+00,2026-05-05 17:34:07.046195+00
23,1,265,2026-05-04 14:55:53.388303+00,2026-05-04 15:23:23.759645+00
23,5,111,2026-05-04 14:56:11.408348+00,2026-05-04 15:23:24.260812+00
13,16,103,2026-05-04 13:05:29.45741+00,2026-05-05 06:14:46.588183+00
43,20,17,2026-05-05 16:21:30.201539+00,2026-05-05 16:29:13.707838+00
13,3,208,2026-05-04 09:17:51.658287+00,2026-05-06 00:59:49.754117+00
19,1,224,2026-05-04 14:04:14.447297+00,2026-05-05 17:34:15.904949+00
18,8,14,2026-05-04 13:42:44.078446+00,2026-05-04 14:02:49.082354+00
39,20,271,2026-05-05 09:37:19.680667+00,2026-05-05 12:30:58.608998+00
27,5,50,2026-05-04 17:56:45.132387+00,2026-05-04 18:07:49.017476+00
30,4,709,2026-05-05 02:41:58.104856+00,2026-05-06 01:03:25.439515+00
29,1,77,2026-05-04 19:29:23.466147+00,2026-05-04 19:59:20.573491+00
19,20,68,2026-05-04 14:17:14.440139+00,2026-05-05 17:39:05.658088+00
13,11,210,2026-05-04 11:08:33.391316+00,2026-05-05 06:14:51.091869+00
19,9,44,2026-05-04 14:04:15.948329+00,2026-05-05 17:34:20.410151+00
20,11,1354,2026-05-04 15:30:58.034244+00,2026-05-05 15:45:03.539728+00
23,2,224,2026-05-04 14:55:48.383542+00,2026-05-04 15:23:28.765774+00
23,7,88,2026-05-04 14:55:33.367688+00,2026-05-04 15:23:28.765774+00
32,5,407,2026-05-05 03:12:41.612653+00,2026-05-05 11:04:46.364475+00
16,1,61,2026-05-04 13:06:42.708626+00,2026-05-05 01:16:15.914+00
41,8,78,2026-05-05 09:44:28.769905+00,2026-05-05 12:50:21.050788+00
26,9,23,2026-05-04 16:32:40.556646+00,2026-05-04 16:48:53.29694+00
13,13,167,2026-05-04 13:05:11.441284+00,2026-05-05 06:14:58.601281+00
25,14,340,2026-05-04 23:58:44.788541+00,2026-05-06 00:15:05.008695+00
34,4,879,2026-05-05 04:38:58.457198+00,2026-05-06 01:04:12.163109+00
32,10,161,2026-05-05 03:18:28.874501+00,2026-05-05 11:04:46.364475+00
24,6,5,2026-05-04 14:52:40.722214+00,2026-05-04 14:52:46.769322+00
26,7,21,2026-05-04 16:31:22.003433+00,2026-05-04 16:48:55.115437+00
19,16,148,2026-05-04 14:16:06.890406+00,2026-05-05 17:39:13.168733+00
37,11,1149,2026-05-05 09:04:59.970699+00,2026-05-05 23:02:13.198209+00
23,10,43,2026-05-04 14:56:52.953226+00,2026-05-04 15:23:45.785647+00
14,2,63,2026-05-04 10:33:45.216805+00,2026-05-05 13:12:10.685044+00
26,2,69,2026-05-04 16:30:16.450743+00,2026-05-04 16:48:56.299358+00
41,18,56,2026-05-05 10:00:35.613507+00,2026-05-05 14:02:09.626848+00
25,8,7,2026-05-04 15:28:32.538311+00,2026-05-05 00:10:45.665035+00
37,16,462,2026-05-05 09:05:05.475166+00,2026-05-05 23:02:15.199987+00
37,13,872,2026-05-05 09:05:21.489001+00,2026-05-05 23:02:15.701273+00
18,17,7,2026-05-04 14:03:57.791127+00,2026-05-04 14:19:37.078828+00
26,3,63,2026-05-04 16:29:09.38573+00,2026-05-04 16:48:59.800995+00
11,12,5704,2026-05-04 10:57:14.424264+00,2026-05-06 00:59:20.775003+00
37,4,19,2026-05-05 09:03:28.756742+00,2026-05-05 09:21:00.559211+00
23,6,105,2026-05-04 14:56:10.908251+00,2026-05-04 15:22:37.219452+00
27,8,22,2026-05-04 17:59:16.027524+00,2026-05-04 18:08:17.545936+00
28,16,19,2026-05-04 18:35:14.504843+00,2026-05-04 18:42:06.834488+00
26,6,39,2026-05-04 16:31:25.004277+00,2026-05-04 16:49:03.302388+00
24,9,4,2026-05-04 14:52:53.272699+00,2026-05-04 14:52:59.274677+00
